French,English
histoire,history
chercher,search
police,police
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
arrivé,come
devrait,should
bébé,baby
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
pourrais,could
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
matin,morning
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
devant,in front of
minutes,minutes
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
espère,hope
parti,left
boulot,job
arrêter,Stop
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
